ID,Address,Baths,Beds,BuiltInYear,DateOfSale,IsAStudio,LotSize,LotSizeUnit,SalePrice,Size
15063505,"740 Francisco St, San Francisco, CA",2.0,,1948.0,11/30/15,0.0,2435.0,sqft,2.15,1430.0
15063505,"740 Francisco St, San Francisco, CA",2.0,,1948.0,11/30/15,0.0,2435.0,,2.15,1430.0
15063609,"819 Francisco St, San Francisco, CA",3.5,2.0,1976.0,11/12/15,0.0,3920.0,,5.6,2040.0
15063609,"819 Francisco St, San Francisco, CA",3.5,2.0,1976.0,11/12/15,0.0,3920.0,sqft,5.6,2040.0
15064536,"2300 Leavenworth St, San Francisco, CA",2.0,3.0,1913.0,12/4/15,0.0,1271.0,sqft,2.83,2115.0
15064536,"2300 Leavenworth St, San Francisco, CA",2.0,3.0,1913.0,12/4/15,0.0,1271.0,,2.83,2115.0
15064640,"1047-1049 Lombard St, San Francisco, CA",,,1948.0,1/14/16,1.0,3049.0,sqft,4.05,4102.0
15064640,"1047-1049 Lombard St, San Francisco, CA",,,1948.0,1/14/16,1.0,3049.0,,4.05,4102.0
15065810,"1327-1329 Kearny St, San Francisco, CA",4.0,,1906.0,11/25/15,0.0,1600.0,,2.25,2658.0
15065810,"1327-1329 Kearny St, San Francisco, CA",4.0,,1906.0,11/25/15,0.0,1600.0,sqft,2.25,2658.0
15066281,"1807 Jones St, San Francisco, CA",2.0,2.0,1922.0,12/15/15,0.0,3023.0,,1.7,1467.0
15066281,"1807 Jones St, San Francisco, CA",2.0,2.0,1922.0,12/15/15,0.0,3023.0,sqft,1.7,1467.0
15066839,"1163-1165 Vallejo St, San Francisco, CA",2.0,,1913.0,12/1/15,0.0,1376.0,,0.3,2344.0
15066839,"1163-1165 Vallejo St, San Francisco, CA",2.0,,1913.0,12/1/15,0.0,1376.0,sqft,0.3,2344.0
15067302,"948 Jackson St, San Francisco, CA",4.0,,1908.0,11/13/15,0.0,1459.0,,1.95,4362.0
15067302,"948 Jackson St, San Francisco, CA",4.0,,1908.0,11/13/15,0.0,1459.0,sqft,1.95,4362.0
15068767,"767-771 Pine St, San Francisco, CA",4.0,,1909.0,12/31/15,0.0,1376.0,,2.49,4605.0
15068767,"767-771 Pine St, San Francisco, CA",4.0,,1909.0,12/31/15,0.0,1376.0,sqft,2.49,4605.0
15069628,"47-49 Casa Way, San Francisco, CA",,3.0,1939.0,11/25/15,0.0,2748.0,,3.8,3905.0
15069628,"47-49 Casa Way, San Francisco, CA",,3.0,1939.0,11/25/15,0.0,2748.0,sqft,3.8,3905.0
15069883,"59 Rico Way, San Francisco, CA",1.5,3.0,1925.0,12/21/15,0.0,2613.0,,2.55,1675.0
15069883,"59 Rico Way, San Francisco, CA",1.5,3.0,1925.0,12/21/15,0.0,2613.0,sqft,2.55,1675.0
15070227,"134 Alhambra St, San Francisco, CA",3.0,3.0,1925.0,1/18/16,0.0,3005.0,,3.08,2599.0
15070227,"134 Alhambra St, San Francisco, CA",3.0,3.0,1925.0,1/18/16,0.0,3005.0,sqft,3.08,2599.0
15070235,"180 Alhambra St, San Francisco, CA",2.0,,1925.0,12/7/15,0.0,2286.0,sqft,3.33,2864.0
15070235,"180 Alhambra St, San Francisco, CA",2.0,,1925.0,12/7/15,0.0,2286.0,,3.33,2864.0
15070255,"146 Avila St, San Francisco, CA",3.0,3.0,1924.0,12/23/15,0.0,2495.0,sqft,3.02,2100.0
15070255,"146 Avila St, San Francisco, CA",3.0,3.0,1924.0,12/23/15,0.0,2495.0,,3.02,2100.0
15070544,"1051-1053 Francisco St, San Francisco, CA",6.0,5.0,1953.0,12/1/15,0.0,4726.0,sqft,9.71,4650.0
15070544,"1051-1053 Francisco St, San Francisco, CA",6.0,5.0,1953.0,12/1/15,0.0,4726.0,,9.71,4650.0
15070728,"3315 Pierce St, San Francisco, CA",3.5,3.0,1925.0,1/6/16,0.0,2500.0,,2.5,2255.0
15070728,"3315 Pierce St, San Francisco, CA",3.5,3.0,1925.0,1/6/16,0.0,2500.0,sqft,2.5,2255.0
15070807,"1763-1765 Chestnut St, San Francisco, CA",3.0,,1920.0,12/1/15,0.0,3000.0,sqft,1.38,3260.0
15070807,"1763-1765 Chestnut St, San Francisco, CA",3.0,,1920.0,12/1/15,0.0,3000.0,,1.38,3260.0
15071199,"2374-2376 Greenwich St, San Francisco, CA",5.0,4.0,1938.0,11/23/15,0.0,2495.0,,6.0,4178.0
15071199,"2374-2376 Greenwich St, San Francisco, CA",5.0,4.0,1938.0,11/23/15,0.0,2495.0,sqft,6.0,4178.0
15072504,"2660 Scott St, San Francisco, CA",8.0,7.0,1908.0,12/8/15,0.0,5623.0,,13.1,9190.0
15072504,"2660 Scott St, San Francisco, CA",8.0,7.0,1908.0,12/8/15,0.0,5623.0,sqft,13.1,9190.0
15072510,"2535 Vallejo St, San Francisco, CA",4.0,,1908.0,11/23/15,0.0,3781.0,sqft,5.6,4065.0
15072510,"2535 Vallejo St, San Francisco, CA",4.0,,1908.0,11/23/15,0.0,3781.0,,5.6,4065.0
15074558,"2684-2686 Sacramento St, San Francisco, CA",,,1900.0,12/8/15,0.0,2674.0,,2.71,2840.0
15074558,"2684-2686 Sacramento St, San Francisco, CA",,,1900.0,12/8/15,0.0,2674.0,sqft,2.71,2840.0
15074647,"2619-2621 Sacramento St, San Francisco, CA",5.0,7.0,1900.0,12/3/15,0.0,2038.0,sqft,2.9,2930.0
15074647,"2619-2621 Sacramento St, San Francisco, CA",5.0,7.0,1900.0,12/3/15,0.0,2038.0,,2.9,2930.0
15075139,"2215 California St, San Francisco, CA",6.0,5.0,1900.0,12/11/15,0.0,3454.0,sqft,5.05,3485.0
15075139,"2215 California St, San Francisco, CA",6.0,5.0,1900.0,12/11/15,0.0,3454.0,,5.05,3485.0
15076156,"1533 Sutter St, San Francisco, CA",7.5,6.0,1890.0,11/12/15,0.0,2748.0,,5.53,7375.0
15076156,"1533 Sutter St, San Francisco, CA",7.5,6.0,1890.0,11/12/15,0.0,2748.0,sqft,5.53,7375.0
15078434,"412-414 Linden St, San Francisco, CA",2.0,4.0,1909.0,12/16/15,0.0,1297.0,sqft,0.835,2200.0
15078434,"412-414 Linden St, San Francisco, CA",2.0,4.0,1909.0,12/16/15,0.0,1297.0,,0.835,2200.0
15078460,"622-626 Buchanan St, San Francisco, CA",,,1900.0,11/12/15,0.0,1637.0,sqft,1.25,2785.0
15078460,"622-626 Buchanan St, San Francisco, CA",,,1900.0,11/12/15,0.0,1637.0,,1.25,2785.0
15078815,"545-547 Oak St, San Francisco, CA",3.0,5.0,1900.0,12/23/15,0.0,3297.0,sqft,1.77,2610.0
15078815,"545-547 Oak St, San Francisco, CA",3.0,5.0,1900.0,12/23/15,0.0,3297.0,,1.77,2610.0
15078866,"753-755 Oak St, San Francisco, CA",2.0,,1890.0,11/10/15,0.0,3781.0,,0.375,2430.0
15078866,"753-755 Oak St, San Francisco, CA",2.0,,1890.0,11/10/15,0.0,3781.0,sqft,0.375,2430.0
15078953,"789-793 Page St, San Francisco, CA",3.0,6.0,1911.0,11/25/15,0.0,2247.0,,1.7,3825.0
15078953,"789-793 Page St, San Francisco, CA",3.0,6.0,1911.0,11/25/15,0.0,2247.0,sqft,1.7,3825.0
15079269,"591-595 Waller St, San Francisco, CA",7.0,,1900.0,12/2/15,0.0,2696.0,,1.23,7240.0
15079269,"591-595 Waller St, San Francisco, CA",7.0,,1900.0,12/2/15,0.0,2696.0,sqft,1.23,7240.0
15079279,"101-105 Steiner St, San Francisco, CA",3.0,,1900.0,12/9/15,0.0,2735.0,,2.7,6726.0
15079279,"101-105 Steiner St, San Francisco, CA",3.0,,1900.0,12/9/15,0.0,2735.0,sqft,2.7,6726.0
15079314,"457-461 Waller St, San Francisco, CA",,,1900.0,12/22/15,1.0,3000.0,,1.55,3750.0
15079314,"457-461 Waller St, San Francisco, CA",,,1900.0,12/22/15,1.0,3000.0,sqft,1.55,3750.0
